Sentence#,Sentence,POS,Tag
1,"' ಆವಿಷ್ಕಾರ , ಸುಸ್ಥಿರತೆ ಮತ್ತು ಬಹುಪಕ್ಷೀಯ ಸಹಕಾರ ' ದ ಕುರಿತು ಭಾರತ - ಫ್ರಾನ್ಸ್ ಟ್ರ್ಯಾಕ್ 1.5 ಸಂವಾದದಲ್ಲಿ ವಿದೇಶಾಂಗ ಸಚಿವರ ಭಾಷಣ .",RD_PUNC N_NN RD_PUNC N_NN CC_CCD JJ N_NN RD_PUNC PSP RP_RPD N_NNP RD_SYM N_NNP N_NNP QT_QTC N_NN N_NN N_NN N_NN RD_PUNC,O O O O O O O O O O NEL O NEL O O O NETE NETE O O
2,"ಮಾರ್ಚ್ 16 , 2022 .",N_NNP QT_QTC RD_PUNC QT_QTC RD_PUNC,NED NED O NEN O
3,"ಮಹಾಮಹಿಮ ಶ್ರೀ ಫ್ರಾಂಕೋಯಿಸ್ ಡೆಲಾಟ್ರೆ , ಪ್ರಧಾನ ಕಾರ್ಯದರ್ಶಿ , ಯುರೋಪ್ ಮತ್ತು ಫ್ರಾನ್ಸ್ ನ ವಿದೇಶಾಂಗ ವ್ಯವಹಾರಗಳ ಸಚಿವಾಲಯ ,",N_NN N_NN N_NNP N_NNP RD_PUNC JJ N_NN RD_PUNC N_NNP CC_CCD N_NNP PSP N_NN N_NN N_NN RD_PUNC,O O NEP NEP O O O O NEL O NEL O O O O O
4,"ಮಹಾಮಹಿಮ ಶ್ರೀ ಇಮ್ಯಾನುಯೆಲ್ ಲೆನಿನ್ , ಭಾರತದಲ್ಲಿ ಫ್ರಾನ್ಸ್ ನ ರಾಯಭಾರಿ ,",N_NN N_NN N_NNP N_NNP RD_PUNC N_NNP N_NNP PSP N_NN RD_PUNC,O O NEP NEP O NEL NEL O O O
5,"ಶ್ರೀ ಜಾವೇದ್ ಅಶ್ರಫ್ , ಫ್ರಾನ್ಸ್ ಮತ್ತು ಮೊನಾಕೊದಲ್ಲಿ ಭಾರತದ ರಾಯಭಾರಿ ,",N_NN N_NNP N_NNP RD_PUNC N_NNP CC_CCD N_NNP N_NNP N_NN RD_PUNC,O NEP NEP O NEL O NEL NEL O O
6,"ರಾಯಭಾರಿ ರಾಜೀವ್ ಭಾಟಿಯಾ , ಗಣ್ಯ ವ್ಯಕ್ತಿ , ಗೇಟ್‌ವೇ ಹೌಸ್ ,",N_NNP N_NNP N_NNP RD_PUNC N_NN N_NN RD_PUNC N_NN N_NN RD_PUNC,O NEP NEP O O O O NEO NEO O
7,"ಮಹಿಳೆಯರೇ ಮತ್ತು ಮಹನೀಯರೇ ಹಾಗೂ ವಿಶೇಷ ಭಾಗೀದಾರರೇ ,",N_NN CC_CCD N_NN CC_CCD JJ N_NN RD_PUNC,O O O O O O O
8,ನಮಸ್ಕಾರ .,N_NN RD_PUNC,O O
9,ಇಂದು ಭಾರತ - ಫ್ರಾನ್ಸ್ ಟ್ರ್ಯಾಕ್ 1.5 ನೇ ಸಂವಾದದಲ್ಲಿ ಮಾತನಾಡಲು ನನಗೆ ಅಪಾರ ಸಂತೋಷ ಆಗುತ್ತಿದೆ .,N_NN N_NNP RD_SYM N_NNP N_NNP QT_QTC N_NN N_NN V_VM_VINF PR_PRP JJ N_NN V_VM_VF RD_PUNC,O NEL O NEL O NEN O O O O O O O O
10,ಜಾಗತಿಕ ಥಿಂಕ್ - ಟ್ಯಾಂಕ್ ಸ್ಪೇಸ್ ನ ಎರಡು ಅತ್ಯಂತ ಸಕ್ರಿಯ ಸಂಸ್ಥೆಗಳು - ಗೇಟ್‌ವೇ ಹೌಸ್ ಮತ್ತು ಐಎಫ್‌ಆರ್‌ಐ ನಡುವಿನ ಸಹಯೋಗವನ್ನು ನೋಡಿ ನನಗೆ ಸಂತೋಷ ಆಗುತ್ತಿದೆ .,JJ N_NN RD_SYM N_NN N_NN PSP QT_QTC RP_INTF JJ N_NN RD_SYM N_NN N_NN CC_CCD N_NN N_NN N_NN V_VM_VNF PR_PRP N_NN V_VM_VF RD_PUNC,O O O O O O O O O O O NEO NEO O NEO O O O O O O O
11,2 .ಅಕ್ಟೋಬರ್ 2020 ರಲ್ಲಿ ನಾನು ಪ್ಯಾರಿಸ್‌ಗೆ ಭೇಟಿ ನೀಡಿದ ಸಂದರ್ಭದಲ್ಲಿ ಐಎಫ್‌ಆರ್‌ಐನಲ್ಲಿ ಒಂದು ಸಭೆಯನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡಲು ನನಗೆ ಅವಕಾಶ ಸಿಕ್ಕಿತ್ತು .,QT_QTC N_NNP QT_QTC PSP PR_PRP N_NNP N_NN V_VM_VNF N_NN N_NN QT_QTC N_NN V_VM_VNF V_VM_VINF PR_PRP N_NN V_VM_VF RD_PUNC,NED NED NED O O NEL O O O NEO O O O O O O O O
12,"ಇತ್ತೀಚೆಗೆ , ಇಂಡೋ - ಪೆಸಿಫಿಕ್‌ನಲ್ಲಿ ಸಹಕಾರಕ್ಕಾಗಿ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟದ ಸಚಿವರ ವೇದಿಕೆಯಲ್ಲಿ ಭಾಗವಹಿಸಲು ಪ್ಯಾರಿಸ್‌ಗೆ ಬಂದಿದ್ದ ವಿದೇಶಾಂಗ ಸಚಿವ ಡಾ.ಎಸ್.ಜೈಶಂಕರ್ ಅವರು ಐಎಫ್‌ಆರ್‌ಐಗೆ ಸಂಬಂಧಿಸಿದ್ದರು .",N_NN RD_PUNC N_NNP RD_SYM N_NN N_NN N_NNP N_NN N_NN N_NN V_VM_VINF N_NN V_VM_VNF N_NN N_NN N_NN PR_PRP N_NN V_VM_VF RD_PUNC,O O NEL NEL NEL O NEO NEO O O O NEL O NETE NETE NEP O NEO O O
13,ನಾವು ಗೇಟ್‌ವೇ ಹೌಸ್‌ನೊಂದಿಗೂ ನಿಯಮಿತವಾಗಿ ಸಹಕರಿಸುತ್ತಿದ್ದೇವೆ ಹಾಗೆಯೇ ಅವರೊಂದಿಗೆ ನಮ್ಮ ಒಡನಾಟವನ್ನು ಮುಂದುವರಿಸಲು ಸಹ ನಾವು ಎದುರು ನೋಡುತ್ತಿದ್ದೇವೆ .,PR_PRP N_NN N_NN RB V_VM_VF CC_CCS PR_PRP PR_PRP N_NN V_VM_VINF RP_RPD PR_PRP N_NST V_VM_VF RD_PUNC,O NEO NEO O O O O O O O O O O O O
